Episode,Steps,Total Reward,Discounted Reward,Expected Q
0,2000,-302742.3021081658,-4963.858231737121,-0.07341304421424866
1,1296,-195154.78246346462,-4321.927212003236,-194.23472595214844
2,1675,-247572.22961135843,-4552.604730838793,-628.0353393554688
3,2001,-306445.3167778833,-4511.539495580713,-1176.0340576171875
4,1102,-164763.85974501888,-4177.970260750637,-1883.9500732421875
5,1045,-157573.28229295588,-4771.615924551368,-2229.8173828125
6,1242,-182898.37586565377,-4306.24335467375,-2645.580078125
7,866,-127753.32035976203,-4448.927200886036,-3070.8037109375
8,1820,-278090.4010409352,-4555.797490023401,-3457.4189453125
9,1523,-229990.7364595741,-4721.394212200723,-4041.334228515625
10,878,-130731.44780222978,-4687.499587034274,-4517.85107421875
11,1368,-207414.63874329734,-4570.471788238794,-4784.52392578125
12,1240,-185902.96381066303,-5067.01052254031,-5151.185546875
13,1502,-226404.43159606878,-4381.7326195790865,-5313.66064453125
14,1362,-202793.01642111634,-4899.822277146839,-5833.8271484375
15,1544,-229279.63909594985,-4485.136525738237,-6079.2919921875
16,1477,-226100.59997223306,-4345.376631157086,-6357.12548828125
17,1445,-223912.2338370395,-4666.670250110247,-6627.462890625
18,1531,-230489.9178806539,-5107.650584562625,-6507.14013671875
19,2001,-301938.9739958661,-5149.808834388141,-6638.0498046875
20,1962,-303842.6113754853,-4765.351177574597,-7362.435546875
21,1138,-175761.62533879012,-4854.150116029202,-7287.37744140625
22,1645,-247992.6757963753,-5062.028137592201,-7488.8349609375
23,1961,-302887.48104035406,-5180.900949234009,-7797.6630859375
24,1155,-178432.20751575337,-4805.64485469868,-8078.9423828125
25,1155,-176203.35555129644,-4385.099312467489,-7340.845703125
