Episode,Steps,Total Reward,Discounted Reward,Expected Q
35,479,-6045.908897367927,-3182.7153313153003,-0.8976947665214539
25,488,-6536.829588263478,-3440.7361646048794,-0.8976947665214539
20,490,-6278.524773260966,-3263.849376884422,-0.8976947665214539
30,492,-6517.535496021151,-3375.7984693220023,-0.8976947665214539
29,537,-7016.0932908881705,-3436.2568128904545,-0.8976947665214539
21,556,-7471.931100684875,-3670.045558884941,-0.8976947665214539
28,563,-7417.155875681278,-3592.32361219679,-0.8976947665214539
24,567,-7293.052416084071,-3482.6620643467163,-0.8976947665214539
26,570,-7463.245800188365,-3613.7856481819554,-0.8976947665214539
31,575,-7438.700111696905,-3547.3617935660272,-0.8976947665214539
32,575,-7701.1099672340715,-3721.8404041111094,-0.8976947665214539
22,579,-7703.061320974673,-3623.9527927418576,-0.8976947665214539
23,581,-7835.720324477019,-3676.594687853587,-0.8976947665214539
33,658,-8679.385518034382,-3808.959515072757,-0.8976947665214539
27,667,-9067.686272624927,-3881.3649176985477,-0.8976947665214539
37,676,-9259.168786579787,-3928.6145048733947,-0.8976947665214539
34,702,-9388.819479227595,-3858.147828467333,-0.8976947665214539
19,705,-9487.645463100625,-3806.994241292134,-0.8976947665214539
36,894,-12326.242654876069,-4260.826696729405,-0.8976947665214539
44,518,-6761.165982790052,-3459.468829682819,-25.956464767456055
39,594,-7948.419887470703,-3692.957485912803,-27.90587615966797
43,545,-7281.985641332169,-3599.4239565392445,-26.42995262145996
40,558,-7134.449022233778,-3456.4269382348575,-26.482959747314453
52,462,-5808.594251381229,-3081.7460056774576,-26.863523483276367
51,581,-7700.400759281847,-3716.3463502306076,-30.286691665649414
56,492,-6342.597309832026,-3290.2219898760773,-27.493759155273438
54,694,-9220.812225162592,-3924.8847569681675,-26.884990692138672
48,667,-8854.88321321875,-3822.6963121711315,-26.43029022216797
49,729,-9849.641467407353,-3956.2309728760924,-26.289459228515625
50,681,-9200.047815613307,-3980.7378624696134,-29.45761489868164
47,719,-9700.264485186299,-3994.296989645727,-29.054826736450195
45,753,-10366.643889214109,-4090.597775398081,-29.669803619384766
38,635,-8440.324333272425,-3722.401896262176,-28.835691452026367
