Episode,Steps,Total Reward,Discounted Reward,Expected Q
19,2000,-76029.00975352553,-12688.660712762578,-7.349360942840576
20,2000,-76793.34887482076,-12403.11537736452,-7.379751682281494
21,2000,-74413.50603267508,-12347.993643246264,-7.376037120819092
22,2000,-75707.1383296222,-12051.91073421102,-7.3592047691345215
23,2000,-74164.72915686075,-12243.516548915684,-7.3531317710876465
24,2000,-72897.04482738435,-11554.896212302983,-7.345439910888672
25,2000,-76542.83547796412,-12810.550357798798,-7.355449676513672
26,2000,-76790.338425178,-12996.932447362897,-7.371065139770508
27,2000,-75508.35671439559,-12507.416808765143,-7.386641025543213
28,2000,-75069.54227117437,-12538.763790293302,-7.380551815032959
29,2000,-76363.57174239297,-12459.347222710729,-7.349628925323486
30,2000,-73834.38453712445,-11996.622353929655,-7.370975017547607
31,2000,-72658.4923806982,-12169.972756737738,-7.3627543449401855
32,2000,-74688.80071294622,-12263.97746772688,-7.380913257598877
33,2000,-74016.21300049055,-11924.325894318736,-7.302028656005859
34,2000,-73549.64634392328,-11998.022512843394,-7.378365516662598
35,2000,-75891.78693553613,-12698.6629143477,-7.380059719085693
36,2000,-74021.71193146156,-12259.389223156726,-7.378830909729004
37,2000,-75440.64946414842,-12989.101457503537,-7.379537105560303
38,2001,-74713.34765655568,-12655.334202456865,-137.1382293701172
39,2001,-72378.36685976497,-11648.005966139146,-144.1868133544922
40,2001,-73703.31753910347,-12221.561827310199,-106.6907958984375
41,2001,-71788.21519832102,-12079.949458288223,-139.94485473632812
42,2001,-75426.64748363684,-12703.208947450541,-129.5997314453125
43,2001,-74280.68123251751,-11959.91406790404,-134.3969268798828
44,2001,-73651.68320401154,-11869.04087189591,-128.61456298828125
45,2001,-72672.78502432078,-11924.757535485644,-143.49810791015625
46,2001,-74550.08856363366,-12459.64712724725,-125.9295883178711
47,2001,-74277.62975321959,-12176.410398804272,-108.70541381835938
48,2001,-75758.04899440242,-12135.885688488115,-142.46466064453125
49,2001,-72906.32757823575,-12191.61662875683,-117.75702667236328
50,2001,-72509.95662867876,-12138.420205177114,-123.58543395996094
51,2001,-73852.85641561246,-12295.050354157716,-117.78893280029297
52,2001,-73805.73287156399,-12342.865649268379,-119.41748809814453
53,2001,-73839.66582830153,-12110.76722611272,-122.30105590820312
54,2001,-75461.1421811199,-12238.528260016203,-132.97747802734375
55,2001,-73827.07213418352,-11975.767095605386,-121.4180908203125
56,2001,-73463.93968889232,-12319.359991553194,-124.62753295898438
57,2001,-74833.12256320658,-12344.535862243512,-198.48959350585938
58,2001,-73275.7165438501,-12258.529719735987,-196.86221313476562
59,2001,-73457.24693818894,-11974.947454314839,-193.91354370117188
60,2001,-72906.652786283,-12349.250915407416,-185.0589599609375
61,2001,-73683.66820419999,-12271.83630793313,-184.18484497070312
62,2001,-76277.86704723096,-12433.18227048003,-182.64541625976562
63,2001,-74783.7600380526,-12134.98315989256,-189.955322265625
64,2001,-74767.75002676553,-12341.092603087418,-177.45132446289062
65,2001,-74247.8080782794,-11889.50374899168,-189.91737365722656
66,2001,-73565.740033387,-12369.276501405417,-197.16323852539062
67,2001,-74158.9906091161,-12387.801684997394,-190.45822143554688
68,2001,-72415.1293443181,-12133.51375790241,-172.09237670898438
69,2001,-72193.77284009772,-11652.16866887457,-172.75564575195312
70,2001,-73589.30560571542,-12103.427172634416,-181.85134887695312
71,2001,-73597.48568145258,-12002.717068687418,-185.81365966796875
72,2001,-74343.68335451397,-12254.934617754314,-169.71823120117188
73,2001,-74737.20939060142,-12553.898006880012,-189.5810089111328
74,2001,-73230.78694146854,-12300.363252948919,-197.9622039794922
75,2001,-75439.91063001972,-12524.414114461619,-171.30349731445312
76,2001,-73347.35173864757,-12308.467436969928,-244.53404235839844
77,2001,-74460.21939317345,-12444.60463823728,-235.28004455566406
78,2001,-71074.14369994983,-11851.459120117048,-239.5576171875
