Episode,Steps,Total Reward,Discounted Reward,Expected Q
19,2000,-73765.33170443843,-12458.984018469624,-7.134392738342285
20,2000,-75361.95772004193,-12279.637019412103,-7.1024322509765625
21,2000,-73643.2000887661,-12257.678440150801,-7.097698211669922
22,2000,-74175.56160056248,-12162.11286412381,-7.094981670379639
23,2000,-73769.59482302713,-12157.878295606313,-7.087466239929199
24,2000,-73676.29176851414,-12157.901291994185,-7.100532531738281
25,2000,-74530.06309383866,-11981.847967357806,-7.108344078063965
26,2000,-74141.30471711507,-12085.356826207302,-7.111187934875488
27,2000,-74643.28486177347,-12330.821849367803,-7.137681484222412
28,2000,-75394.87802958908,-12207.038724713042,-7.1236348152160645
29,2000,-74097.77018586625,-12228.905275619629,-7.078215599060059
30,2000,-73008.56013610546,-11815.60465486795,-7.059762001037598
31,2000,-75978.49845907548,-12417.762897861798,-7.109617233276367
32,2000,-72348.93224659582,-11995.6794384249,-7.0461602210998535
33,2000,-75553.64105109693,-12699.94759384913,-7.085012435913086
34,2000,-73341.86524154016,-11544.394045421128,-7.087447643280029
35,2000,-76117.27930656918,-12493.047512641333,-7.105612277984619
36,2000,-72881.42651763346,-12248.543978262609,-7.069135665893555
37,2000,-75315.78779579092,-12710.004420778845,-7.101776123046875
45,1984,-74253.74261113685,-12263.216466859541,-144.7651824951172
38,2001,-73929.2127901111,-12141.886671949402,-130.67869567871094
39,2001,-73283.81287567946,-11953.1115484398,-127.74992370605469
40,2001,-76523.25393917727,-12504.11398123236,-130.93116760253906
41,2001,-74114.23978223863,-12013.85823213107,-124.9237060546875
42,2001,-73227.37763089521,-12026.234481177918,-135.8056182861328
43,2001,-73246.60339759466,-11886.837004908997,-134.8784637451172
44,2001,-72764.3256449781,-12446.058193948618,-133.90403747558594
46,2001,-75104.30208956084,-12036.271455156886,-138.50791931152344
47,2001,-73601.25941800149,-12169.24975618931,-125.05162048339844
48,2001,-72022.25511529653,-11854.092822735658,-145.2886199951172
49,2001,-75478.69953649545,-12599.378602779138,-127.3614273071289
50,2001,-72060.97872538149,-12030.765320502307,-135.21514892578125
51,2001,-74643.6223176816,-12320.800501585516,-126.37956237792969
52,2001,-75645.95006333828,-12941.520080216002,-120.1668701171875
53,2001,-73653.41832252582,-11980.418883716917,-145.06297302246094
54,2001,-73582.23867257898,-12026.513370976145,-131.1566925048828
55,2001,-72022.85766387133,-11755.12718013267,-144.9227752685547
56,2001,-74663.9882333078,-12121.25872556526,-127.40143585205078
64,2001,-71559.62302959431,-12068.670865453254,-200.6040496826172
57,2001,-73262.0410546582,-12678.4160221709,-204.07945251464844
58,2001,-72108.97648202101,-12024.008774738959,-240.01779174804688
59,2001,-72314.30243026475,-11872.615507428958,-208.6516876220703
60,2001,-72360.66233452516,-11893.573205222732,-186.85137939453125
61,2001,-71914.44320028418,-12075.862664747046,-199.7169189453125
62,2001,-72685.83250321403,-12227.449436309074,-206.7102813720703
63,2001,-72916.47473554997,-11964.531780863283,-205.32565307617188
65,2001,-72690.63563931665,-12197.436320867719,-193.1396484375
66,2001,-71210.12568956855,-11502.603593976373,-197.65689086914062
67,2001,-74866.77868751081,-12070.123055219346,-209.588134765625
68,2001,-71703.99474173906,-12252.166490867736,-225.44383239746094
69,2001,-72979.93571494705,-12080.054080818123,-204.394775390625
70,2001,-73100.3621988091,-12236.123534907516,-199.56185913085938
71,2001,-70507.08080240634,-11751.975596758746,-190.94622802734375
72,2001,-70692.09843202087,-11864.757666151916,-212.1111602783203
73,2001,-73294.96598339047,-12386.960111878252,-212.89915466308594
74,2001,-73356.3515741573,-11925.756367441307,-201.70213317871094
75,2001,-71712.4355332962,-11908.400959753091,-203.41001892089844
83,2001,-70719.53595687867,-11624.61458633997,-274.49041748046875
76,2001,-72458.40885978786,-12123.728257483739,-275.1570739746094
77,2001,-72072.32836798571,-11797.421737854824,-268.0232238769531
78,2001,-71521.75843535231,-11673.27774255414,-279.5779724121094
79,2001,-71743.16817170844,-11985.54944330486,-264.97833251953125
80,2001,-70996.04185481765,-11632.831056743704,-276.445556640625
81,2001,-72967.14002500541,-11992.224157552853,-267.8930358886719
82,2001,-71678.40675619159,-11895.374989557302,-258.3829040527344
84,2001,-73941.87825007457,-12224.428995951876,-283.71588134765625
85,2001,-72545.71794795191,-11786.072485815403,-283.149169921875
86,2001,-73786.40944190572,-11896.082333191911,-285.26824951171875
87,2001,-72099.09951070204,-11526.276683456985,-277.7543029785156
88,2001,-72572.10251739425,-11949.255451656209,-270.8213806152344
89,2001,-71133.99098948001,-11423.358279025651,-267.0187683105469
90,2001,-71990.44195758921,-11705.313592592374,-279.22412109375
91,2001,-70394.61773332718,-11556.277316064426,-277.06707763671875
92,2001,-71718.63318634778,-11786.147270295036,-276.26385498046875
93,2001,-71506.8899650804,-11469.342366328314,-271.4588928222656
94,2001,-71687.36528796829,-11816.201379577573,-247.64907836914062
102,2001,-71651.95828180862,-11708.318004538753,-322.41455078125
