Episode,Step,Reward,Discounted,Losses
1,599,-781.0030905716121,-4.9219836470210625,"{'critic1_loss': 28.784740447998047, 'critic2_loss': 28.8713321685791, 'actor_loss': 3.021528720855713}"
2,600,-1128.62728414312,3.667505762886217,"{'critic1_loss': 18.073261260986328, 'critic2_loss': 18.27342987060547, 'actor_loss': 1.6670444011688232}"
3,617,-801.7479356117547,-3.8940892824914295,"{'critic1_loss': 21.088417053222656, 'critic2_loss': 14.486774444580078, 'actor_loss': 0.966416597366333}"
4,624,-1119.7532183490694,12.555399974720194,"{'critic1_loss': 41.20729064941406, 'critic2_loss': 43.81537628173828, 'actor_loss': 2.4263668060302734}"
5,627,-1180.3687577024102,22.80728926764728,"{'critic1_loss': 34.84546661376953, 'critic2_loss': 32.6373405456543, 'actor_loss': 1.7902307510375977}"
6,630,-1194.6622048392892,20.595434526669294,"{'critic1_loss': 49.5990104675293, 'critic2_loss': 48.337120056152344, 'actor_loss': 1.6026248931884766}"
7,630,-1218.5688938237727,24.116294499523168,"{'critic1_loss': 49.5990104675293, 'critic2_loss': 48.337120056152344, 'actor_loss': 1.6026248931884766}"
8,682,-1365.401694688946,8.212144581792995,"{'critic1_loss': 33.46739196777344, 'critic2_loss': 34.501426696777344, 'actor_loss': 2.1445648670196533}"
9,687,-1364.3571887351573,6.7125339963384745,"{'critic1_loss': 46.4172477722168, 'critic2_loss': 47.746620178222656, 'actor_loss': 1.9468483924865723}"
10,706,-1342.9808729998767,17.536678821427248,"{'critic1_loss': 34.72875213623047, 'critic2_loss': 33.97819519042969, 'actor_loss': -0.38699841499328613}"
11,719,-1482.4908522255719,5.467135030756513,"{'critic1_loss': 36.562644958496094, 'critic2_loss': 38.14863967895508, 'actor_loss': 1.81864595413208}"
12,719,-1412.68326850608,24.87580553272263,"{'critic1_loss': 36.562644958496094, 'critic2_loss': 38.14863967895508, 'actor_loss': 1.81864595413208}"
13,723,-1488.5781316496432,-4.3158887675370226,"{'critic1_loss': 53.78814697265625, 'critic2_loss': 50.847923278808594, 'actor_loss': 3.0844130516052246}"
14,744,-1436.504824463278,12.857569838781567,"{'critic1_loss': 35.225685119628906, 'critic2_loss': 34.85892105102539, 'actor_loss': 3.1539406776428223}"
15,752,-1364.9115501008928,19.391774502996007,"{'critic1_loss': 32.75416564941406, 'critic2_loss': 34.11907958984375, 'actor_loss': 2.5223941802978516}"
16,785,-1518.3995510675013,-1.254805391640838,"{'critic1_loss': 49.624847412109375, 'critic2_loss': 54.01167297363281, 'actor_loss': 1.1044201850891113}"
17,634,-1221.9465606100857,11.638764328328437,"{'critic1_loss': 26.736906051635742, 'critic2_loss': 24.88395881652832, 'actor_loss': 4.310189247131348}"
18,644,-1197.6726838983595,-2.494559589844867,"{'critic1_loss': 41.84925842285156, 'critic2_loss': 39.45351791381836, 'actor_loss': 3.5376925468444824}"
19,609,-1136.7116713263094,14.791700839736496,"{'critic1_loss': 17.662769317626953, 'critic2_loss': 17.047897338867188, 'actor_loss': 5.612375736236572}"
20,708,-1362.9804017432034,2.906749153730056,"{'critic1_loss': 44.25045394897461, 'critic2_loss': 43.02998352050781, 'actor_loss': 3.33408260345459}"
21,696,-1292.1322624124587,7.799745317897386,"{'critic1_loss': 35.51602554321289, 'critic2_loss': 34.437721252441406, 'actor_loss': 3.9753775596618652}"
22,640,-1217.1818307340145,19.646142698058167,"{'critic1_loss': 37.269004821777344, 'critic2_loss': 35.841251373291016, 'actor_loss': 3.6330809593200684}"
23,607,-1131.2833159156144,1.7368012372491655,"{'critic1_loss': 31.327163696289062, 'critic2_loss': 33.32139587402344, 'actor_loss': 4.144928932189941}"
24,759,-1636.9463386423886,-0.24570020415340763,"{'critic1_loss': 22.11495590209961, 'critic2_loss': 19.329742431640625, 'actor_loss': 4.292702674865723}"
25,631,-1195.3132692240179,13.810259433384,"{'critic1_loss': 24.16666603088379, 'critic2_loss': 24.852144241333008, 'actor_loss': 3.9474291801452637}"
26,796,-1725.290180478245,8.697519521472637,"{'critic1_loss': 16.41621208190918, 'critic2_loss': 17.571016311645508, 'actor_loss': 5.240126609802246}"
27,787,-1294.10322246328,4.493638572720528,"{'critic1_loss': 28.01586151123047, 'critic2_loss': 25.72882652282715, 'actor_loss': 5.705759525299072}"
28,742,-1436.866236075759,19.47417338253754,"{'critic1_loss': 35.718997955322266, 'critic2_loss': 34.006065368652344, 'actor_loss': 3.384164810180664}"
29,745,-1461.6811261065304,18.389362097702545,"{'critic1_loss': 27.306182861328125, 'critic2_loss': 24.565715789794922, 'actor_loss': 3.9368319511413574}"
30,736,-1421.9774242565036,17.551172948500437,"{'critic1_loss': 30.11801528930664, 'critic2_loss': 27.89482307434082, 'actor_loss': 8.201227188110352}"
31,825,-1784.8545488007367,2.1463779863980816,"{'critic1_loss': 29.840839385986328, 'critic2_loss': 29.12648582458496, 'actor_loss': 6.425447940826416}"
32,817,-1736.7632011212409,8.50102444607903,"{'critic1_loss': 28.201549530029297, 'critic2_loss': 28.224302291870117, 'actor_loss': 5.307600498199463}"
33,566,-695.7377662360668,7.581767263487639,"{'critic1_loss': 53.67241668701172, 'critic2_loss': 56.279239654541016, 'actor_loss': 9.150313377380371}"
34,628,-1215.0190592743456,16.422899226093786,"{'critic1_loss': 27.73493003845215, 'critic2_loss': 33.179439544677734, 'actor_loss': 8.230084419250488}"
35,661,-1274.7678184248507,18.102918127539628,"{'critic1_loss': 34.15312957763672, 'critic2_loss': 32.89823532104492, 'actor_loss': 7.573170185089111}"
36,692,-1280.1631077863276,5.042389233332113,"{'critic1_loss': 21.433853149414062, 'critic2_loss': 21.457944869995117, 'actor_loss': 9.179303169250488}"
37,765,-1518.678603734821,8.375587969763206,"{'critic1_loss': 17.94729995727539, 'critic2_loss': 19.012046813964844, 'actor_loss': 11.225671768188477}"
38,771,-1568.656694445759,16.42765729339935,"{'critic1_loss': 22.758831024169922, 'critic2_loss': 22.888294219970703, 'actor_loss': 8.845108032226562}"
39,658,-1260.7782647125423,20.91541558992622,"{'critic1_loss': 31.88100242614746, 'critic2_loss': 32.10002899169922, 'actor_loss': 10.104391098022461}"
40,637,-1159.2028753720224,21.781481933447473,"{'critic1_loss': 31.511947631835938, 'critic2_loss': 31.179349899291992, 'actor_loss': 9.477843284606934}"
41,731,-1473.8866376765072,7.839570995719137,"{'critic1_loss': 24.52939224243164, 'critic2_loss': 22.92557716369629, 'actor_loss': 10.811870574951172}"
42,632,-1216.8070396855474,20.908242617615834,"{'critic1_loss': 35.02613067626953, 'critic2_loss': 33.26955795288086, 'actor_loss': 10.924962997436523}"
43,785,-1635.5865640081465,1.910814557540302,"{'critic1_loss': 30.719219207763672, 'critic2_loss': 32.559452056884766, 'actor_loss': 8.829439163208008}"
44,768,-1565.159519199282,12.369558097069541,"{'critic1_loss': 40.10164260864258, 'critic2_loss': 36.77589416503906, 'actor_loss': 13.300089836120605}"
45,595,-794.3285423256457,3.528773730764521,"{'critic1_loss': 40.10164260864258, 'critic2_loss': 36.77589416503906, 'actor_loss': 13.300089836120605}"
46,795,-1650.3047744818032,1.972391349340548,"{'critic1_loss': 30.412710189819336, 'critic2_loss': 29.43017578125, 'actor_loss': 11.022765159606934}"
47,638,-1234.4576896317303,9.790050952018687,"{'critic1_loss': 26.122188568115234, 'critic2_loss': 21.499483108520508, 'actor_loss': 9.839374542236328}"
48,665,-1300.1331227459013,12.882717609574987,"{'critic1_loss': 26.00699234008789, 'critic2_loss': 24.392141342163086, 'actor_loss': 12.020296096801758}"
49,645,-1147.0030401311815,10.984992080214006,"{'critic1_loss': 37.648109436035156, 'critic2_loss': 34.750911712646484, 'actor_loss': 11.931161880493164}"
50,596,-1142.0179681964219,9.3970770588988,"{'critic1_loss': 34.785911560058594, 'critic2_loss': 36.90568542480469, 'actor_loss': 13.245285034179688}"
51,654,-1248.7868188805878,17.03042230126368,"{'critic1_loss': 45.34313201904297, 'critic2_loss': 44.055397033691406, 'actor_loss': 15.74167251586914}"
52,624,-1125.798240032047,9.695710478328595,"{'critic1_loss': 17.845911026000977, 'critic2_loss': 17.39162826538086, 'actor_loss': 15.288102149963379}"
53,818,-1706.987650666386,7.544119461605791,"{'critic1_loss': 71.02760314941406, 'critic2_loss': 52.37769317626953, 'actor_loss': 12.797197341918945}"
54,699,-1338.3849551267922,5.360291287994232,"{'critic1_loss': 23.354095458984375, 'critic2_loss': 26.64364242553711, 'actor_loss': 14.563152313232422}"
55,651,-1264.9556428678334,21.838720271113917,"{'critic1_loss': 53.322296142578125, 'critic2_loss': 59.07386016845703, 'actor_loss': 15.067036628723145}"
56,672,-1319.1485784240067,10.292476858667241,"{'critic1_loss': 30.096981048583984, 'critic2_loss': 25.211917877197266, 'actor_loss': 17.290653228759766}"
57,654,-1232.7036803849041,7.676601219618154,"{'critic1_loss': 29.956132888793945, 'critic2_loss': 24.83487892150879, 'actor_loss': 13.333282470703125}"
58,659,-1309.5580217652023,14.554438758926054,"{'critic1_loss': 25.73003578186035, 'critic2_loss': 25.733078002929688, 'actor_loss': 14.439409255981445}"
59,597,-758.5194390974939,-4.229817890690516,"{'critic1_loss': 37.325931549072266, 'critic2_loss': 38.964683532714844, 'actor_loss': 15.630304336547852}"
60,621,-1008.2356755174696,12.327068106706275,"{'critic1_loss': 36.88352966308594, 'critic2_loss': 38.50090408325195, 'actor_loss': 16.543682098388672}"
